controller,minute,zone_c,measurement_c,setpoint_c,outdoor_c,internal_load_w,command_pct,requested_command_pct,kp,ki,inference_us,fallback_active
Bayesian Auto-tune,0.0,28.526330420675666,28.50054590160386,24.5,32.96472381958992,550.0,30.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,1.0,28.5525626650239,28.50315598837741,24.5,32.98159220717789,550.0,35.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,2.0,28.578697285727706,28.541479202913607,24.5,32.99847998378223,550.0,40.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,3.0,28.60473483208834,28.526406095042564,24.5,33.01538682788403,550.0,45.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,4.0,28.63067585004166,28.527773548921083,24.5,33.03231241760133,550.0,50.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,5.0,28.656520882174426,28.566441388939126,24.5,33.04925643069531,550.0,55.00000000000001,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,6.0,28.682270467740548,28.581079560601125,24.5,33.06621854457638,550.0,60.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,7.0,28.707925142677215,28.65053783297254,24.5,33.08319843631034,550.0,65.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,8.0,28.724179317172005,28.693329207642453,24.5,33.10019578262454,550.0,70.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,9.0,28.7310782876382,28.721428695047347,24.5,33.117210259913996,550.0,75.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,10.0,28.728667118514835,28.75533281307241,24.5,33.13424154424759,550.0,80.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,11.0,28.716990643455325,28.75258729846935,24.5,33.151289311374214,550.0,85.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,12.0,28.696093466510035,28.72911881971775,24.5,33.16835323672896,550.0,90.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,13.0,28.66601996330277,28.726026211740134,24.5,33.18543299543929,550.0,95.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,14.0,28.626814282201238,28.698923965731854,24.5,33.202528262331214,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,15.0,28.578520345481547,28.656429873135934,24.5,33.21963871193549,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,16.0,28.521181850486713,28.615558298601993,24.5,33.23676401849382,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,17.0,28.45484227077925,28.575789763537486,24.5,33.25390385596506,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,18.0,28.379544857287858,28.53864603566728,24.5,33.27105789803141,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,19.0,28.295332639448244,28.48686409105829,24.5,33.288225818104635,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,20.0,28.20224842633808,28.399648850131552,24.5,33.30540728933228,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,21.0,28.100334807806185,28.33741842731461,24.5,33.3226019846039,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,22.0,27.9896341555959,28.265822888514737,24.5,33.339809576557286,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,23.0,27.87173964487089,28.191727456542587,24.5,33.357029737584696,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,24.0,27.747978270340628,28.095657294882024,24.5,33.374262139839075,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,25.0,27.619455212913937,27.97572086245006,24.5,33.39150645524033,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,26.0,27.487090811893484,27.853231439611346,24.5,33.40876235548156,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,27.0,27.351651375121214,27.738102410829327,24.5,33.426029512035285,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,28.0,27.213774854082956,27.603916879347604,24.5,33.44330759615974,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,29.0,27.073992239812448,27.48825059395754,24.5,33.46059627890511,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,30.0,26.93274539279492,27.347625927969958,24.5,33.477895231119795,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
Bayesian Auto-tune,31.0,26.790401901203804,27.2392662916573,24.5,33.49520412345668,550.0,100.0,100.0,0.6092581725278857,0.001754062939928975,0.0,0
